route,direction,vehicle_id,trip_idx,arrival_time,departure_time
18063--48085,forward,1,0,20.07074458842593,34.07074458842593
18063--48085,reverse,1,1,72.55690749553881,86.55690749553881
18063--48085,forward,1,2,125.0430704026517,139.0430704026517
18063--48085,reverse,1,3,177.52923330976458,191.52923330976458
18063--48085,forward,1,4,230.01539621687746,244.01539621687746
18063--48085,reverse,1,5,282.5015591239903,296.5015591239903
18063--48085,forward,1,6,334.9877220311032,348.9877220311032
18063--48085,reverse,1,7,387.4738849382161,401.4738849382161
18063--48085,forward,1,8,439.960047845329,453.960047845329
18063--48085,reverse,1,9,492.44621075244186,506.44621075244186
18063--48085,forward,2,0,41.065209751271084,55.065209751271084
18063--48085,reverse,2,1,93.55137265838397,107.55137265838397
18063--48085,forward,2,2,146.03753556549685,160.03753556549685
18063--48085,reverse,2,3,198.52369847260974,212.52369847260974
18063--48085,forward,2,4,251.00986137972262,265.0098613797226
18063--48085,reverse,2,5,303.4960242868355,317.4960242868355
18063--48085,forward,2,6,355.9821871939484,369.9821871939484
18063--48085,reverse,2,7,408.4683501010613,422.4683501010613
18063--48085,forward,2,8,460.95451300817416,474.95451300817416
18063--48085,forward,3,0,62.059674914116236,76.05967491411624
18063--48085,reverse,3,1,114.54583782122913,128.54583782122913
18063--48085,forward,3,2,167.032000728342,181.032000728342
18063--48085,reverse,3,3,219.5181636354549,233.5181636354549
18063--48085,forward,3,4,272.0043265425678,286.0043265425678
18063--48085,reverse,3,5,324.4904894496807,338.4904894496807
18063--48085,forward,3,6,376.9766523567936,390.9766523567936
18063--48085,reverse,3,7,429.46281526390646,443.46281526390646
18063--48085,forward,3,8,481.94897817101935,495.94897817101935
18063--48085,forward,4,0,83.05414007696139,97.05414007696139
18063--48085,reverse,4,1,135.5403029840743,149.5403029840743
18063--48085,forward,4,2,188.02646589118717,202.02646589118717
18063--48085,reverse,4,3,240.51262879830006,254.51262879830006
18063--48085,forward,4,4,292.99879170541294,306.99879170541294
18063--48085,reverse,4,5,345.4849546125258,359.4849546125258
18063--48085,forward,4,6,397.9711175196387,411.9711175196387
18063--48085,reverse,4,7,450.4572804267516,464.4572804267516
18063--48085,forward,4,8,502.9434433338645,516.9434433338645
18063--48085,forward,5,0,104.04860523980653,118.04860523980653
18063--48085,reverse,5,1,156.53476814691942,170.53476814691942
18063--48085,forward,5,2,209.0209310540323,223.0209310540323
18063--48085,reverse,5,3,261.5070939611452,275.5070939611452
18063--48085,forward,5,4,313.9932568682581,327.9932568682581
18063--48085,reverse,5,5,366.47941977537096,380.47941977537096
18063--48085,forward,5,6,418.96558268248384,432.96558268248384
18063--48085,reverse,5,7,471.4517455895967,485.4517455895967
18097--48085,forward,6,0,4.983049744758025,18.983049744758027
18097--48085,reverse,6,1,52.97039868840409,66.97039868840409
18097--48085,forward,6,2,100.95774763205014,114.95774763205014
18097--48085,reverse,6,3,148.9450965756962,162.9450965756962
18097--48085,forward,6,4,196.93244551934225,210.93244551934225
18097--48085,reverse,6,5,244.9197944629883,258.9197944629883
18097--48085,forward,6,6,292.90714340663436,306.90714340663436
18097--48085,reverse,6,7,340.8944923502804,354.8944923502804
18097--48085,forward,6,8,388.88184129392647,402.88184129392647
18097--48085,reverse,6,9,436.8691902375725,450.8691902375725
18097--48085,forward,6,10,484.8565391812186,498.8565391812186
18097--48085,forward,7,0,28.976724216581054,42.976724216581054
18097--48085,reverse,7,1,76.96407316022712,90.96407316022712
18097--48085,forward,7,2,124.95142210387317,138.95142210387317
18097--48085,reverse,7,3,172.93877104751923,186.93877104751923
18097--48085,forward,7,4,220.92611999116528,234.92611999116528
18097--48085,reverse,7,5,268.91346893481136,282.91346893481136
18097--48085,forward,7,6,316.9008178784574,330.9008178784574
18097--48085,reverse,7,7,364.88816682210347,378.88816682210347
18097--48085,forward,7,8,412.8755157657495,426.8755157657495
18097--48085,reverse,7,9,460.8628647093956,474.8628647093956
18097--48085,forward,8,0,52.97039868840409,66.97039868840409
18097--48085,reverse,8,1,100.95774763205014,114.95774763205014
18097--48085,forward,8,2,148.9450965756962,162.9450965756962
18097--48085,reverse,8,3,196.93244551934225,210.93244551934225
18097--48085,forward,8,4,244.9197944629883,258.9197944629883
18097--48085,reverse,8,5,292.90714340663436,306.90714340663436
18097--48085,forward,8,6,340.8944923502804,354.8944923502804
18097--48085,reverse,8,7,388.88184129392647,402.88184129392647
18097--48085,forward,8,8,436.8691902375725,450.8691902375725
18097--48085,reverse,8,9,484.8565391812186,498.8565391812186
18097--48085,forward,9,0,76.96407316022712,90.96407316022712
18097--48085,reverse,9,1,124.95142210387317,138.95142210387317
18097--48085,forward,9,2,172.93877104751923,186.93877104751923
18097--48085,reverse,9,3,220.92611999116528,234.92611999116528
18097--48085,forward,9,4,268.91346893481136,282.91346893481136
18097--48085,reverse,9,5,316.9008178784574,330.9008178784574
18097--48085,forward,9,6,364.88816682210347,378.88816682210347
18097--48085,reverse,9,7,412.8755157657495,426.8755157657495
18097--48085,forward,9,8,460.8628647093956,474.8628647093956
39061--48085,forward,10,0,34.78551456646677,48.78551456646677
39061--48085,reverse,10,1,97.76891005500224,111.76891005500224
39061--48085,forward,10,2,160.7523055435377,174.7523055435377
39061--48085,reverse,10,3,223.73570103207314,237.73570103207314
39061--48085,forward,10,4,286.7190965206086,300.7190965206086
39061--48085,reverse,10,5,349.70249200914407,363.70249200914407
39061--48085,forward,10,6,412.6858874976795,426.6858874976795
39061--48085,reverse,10,7,475.66928298621497,489.66928298621497
39061--48085,forward,11,0,76.77444489215708,90.77444489215708
39061--48085,reverse,11,1,139.75784038069253,153.75784038069253
39061--48085,forward,11,2,202.74123586922798,216.74123586922798
39061--48085,reverse,11,3,265.7246313577634,279.7246313577634
39061--48085,forward,11,4,328.7080268462989,342.7080268462989
39061--48085,reverse,11,5,391.69142233483433,405.69142233483433
39061--48085,forward,11,6,454.6748178233698,468.6748178233698
39061--48085,forward,12,0,118.76337521784738,132.7633752178474
39061--48085,reverse,12,1,181.74677070638285,195.74677070638285
39061--48085,forward,12,2,244.7301661949183,258.7301661949183
39061--48085,reverse,12,3,307.71356168345375,321.71356168345375
39061--48085,forward,12,4,370.6969571719892,384.6969571719892
39061--48085,reverse,12,5,433.68035266052465,447.68035266052465
39061--48085,forward,12,6,496.6637481490601,510.6637481490601
29510--48085,forward,13,0,6.2681966649620735,20.268196664962073
29510--48085,reverse,13,1,48.25712699065238,62.25712699065238
29510--48085,forward,13,2,90.24605731634269,104.24605731634269
29510--48085,reverse,13,3,132.234987642033,146.234987642033
29510--48085,forward,13,4,174.2239179677233,188.2239179677233
29510--48085,reverse,13,5,216.21284829341363,230.21284829341363
29510--48085,forward,13,6,258.20177861910395,272.20177861910395
29510--48085,reverse,13,7,300.19070894479427,314.19070894479427
29510--48085,forward,13,8,342.1796392704846,356.1796392704846
29510--48085,reverse,13,9,384.1685695961749,398.1685695961749
29510--48085,forward,13,10,426.1574999218652,440.1574999218652
29510--48085,reverse,13,11,468.14643024755554,482.14643024755554
29510--48085,forward,14,0,48.25712699065238,62.25712699065238
29510--48085,reverse,14,1,90.24605731634269,104.24605731634269
29510--48085,forward,14,2,132.234987642033,146.234987642033
29510--48085,reverse,14,3,174.2239179677233,188.2239179677233
29510--48085,forward,14,4,216.21284829341363,230.21284829341363
29510--48085,reverse,14,5,258.20177861910395,272.20177861910395
29510--48085,forward,14,6,300.19070894479427,314.19070894479427
29510--48085,reverse,14,7,342.1796392704846,356.1796392704846
29510--48085,forward,14,8,384.1685695961749,398.1685695961749
29510--48085,reverse,14,9,426.1574999218652,440.1574999218652
29510--48085,forward,14,10,468.14643024755554,482.14643024755554
17115--48085,forward,15,0,21.532117310247262,35.53211731024726
17115--48085,reverse,15,1,63.52104763593756,77.52104763593756
17115--48085,forward,15,2,105.50997796162787,119.50997796162787
17115--48085,reverse,15,3,147.49890828731816,161.49890828731816
17115--48085,forward,15,4,189.48783861300848,203.48783861300848
17115--48085,reverse,15,5,231.4767689386988,245.4767689386988
17115--48085,forward,15,6,273.4656992643891,287.4656992643891
17115--48085,reverse,15,7,315.45462959007943,329.45462959007943
17115--48085,forward,15,8,357.44355991576975,371.44355991576975
17115--48085,reverse,15,9,399.4324902414601,413.4324902414601
17115--48085,forward,15,10,441.4214205671504,455.4214205671504
17115--48085,reverse,15,11,483.4103508928407,497.4103508928407
17115--48085,forward,16,0,63.52104763593756,77.52104763593756
17115--48085,reverse,16,1,105.50997796162787,119.50997796162787
17115--48085,forward,16,2,147.49890828731816,161.49890828731816
17115--48085,reverse,16,3,189.48783861300848,203.48783861300848
17115--48085,forward,16,4,231.4767689386988,245.4767689386988
17115--48085,reverse,16,5,273.4656992643891,287.4656992643891
17115--48085,forward,16,6,315.45462959007943,329.45462959007943
17115--48085,reverse,16,7,357.44355991576975,371.44355991576975
17115--48085,forward,16,8,399.4324902414601,413.4324902414601
17115--48085,reverse,16,9,441.4214205671504,455.4214205671504
17115--48085,forward,16,10,483.4103508928407,497.4103508928407
21111--48085,forward,17,0,7.6094917108166245,21.609491710816624
21111--48085,reverse,17,1,63.59473214507037,77.59473214507037
21111--48085,forward,17,2,119.5799725793241,133.5799725793241
21111--48085,reverse,17,3,175.56521301357785,189.56521301357785
21111--48085,forward,17,4,231.5504534478316,245.5504534478316
21111--48085,reverse,17,5,287.5356938820853,301.5356938820853
21111--48085,forward,17,6,343.52093431633904,357.52093431633904
21111--48085,reverse,17,7,399.5061747505928,413.5061747505928
21111--48085,forward,17,8,455.4914151848465,469.4914151848465
21111--48085,forward,18,0,63.59473214507037,77.59473214507037
21111--48085,reverse,18,1,119.5799725793241,133.5799725793241
21111--48085,forward,18,2,175.56521301357785,189.56521301357785
21111--48085,reverse,18,3,231.5504534478316,245.5504534478316
21111--48085,forward,18,4,287.5356938820853,301.5356938820853
21111--48085,reverse,18,5,343.52093431633904,357.52093431633904
21111--48085,forward,18,6,399.5061747505928,413.5061747505928
21111--48085,reverse,18,7,455.4914151848465,469.4914151848465
47037--48085,forward,19,0,38.57587298851844,52.57587298851844
47037--48085,reverse,19,1,94.56111342277218,108.56111342277218
47037--48085,forward,19,2,150.5463538570259,164.5463538570259
47037--48085,reverse,19,3,206.53159429127965,220.53159429127965
